Name,Season,Age,AVG,HR,RBI,WAR,wRC+,Hard%
J.T. Realmuto,2023,32,0.252,20,63,2.0,101,0.32899999999999996
J.T. Realmuto,2024,33,0.266,14,47,2.0,107,0.358
J.T. Realmuto,2025,34,0.27,7,38,1.5,99,0.32899999999999996
Salvador Perez,2023,33,0.255,23,80,-0.3,87,0.358
Salvador Perez,2024,34,0.271,27,104,3.2,116,0.36200000000000004
Salvador Perez,2025,35,0.254,18,64,0.8,101,0.366
Mitch Garver,2023,32,0.27,19,50,2.2,141,0.355
Mitch Garver,2024,33,0.172,15,51,-0.4,89,0.312
Mitch Garver,2025,34,0.222,6,23,0.1,92,0.282
Danny Jansen,2023,28,0.228,17,53,1.9,114,0.35
Danny Jansen,2024,29,0.205,9,24,0.5,90,0.282
Danny Jansen,2025,30,0.203,11,29,0.6,97,0.355
Jacob Stallings,2023,33,0.191,3,20,-0.4,55,0.307
Jacob Stallings,2024,34,0.263,9,36,0.9,114,0.33299999999999996
Jacob Stallings,2025,35,0.134,0,9,-1.4,-7,0.28800000000000003
Victor Caratini,2023,29,0.259,7,25,1.2,96,0.289
Victor Caratini,2024,30,0.269,8,30,1.9,113,0.292
Victor Caratini,2025,31,0.257,10,36,0.5,99,0.381
Austin Hedges,2023,30,0.184,1,16,1.0,24,0.305
Austin Hedges,2024,31,0.152,2,15,0.4,20,0.253
Austin Hedges,2025,32,0.127,3,5,0.5,27,0.20800000000000002
Josh Naylor,2023,26,0.308,17,97,2.7,127,0.335
Josh Naylor,2024,27,0.243,31,108,2.3,118,0.314
Josh Naylor,2025,28,0.288,12,60,1.5,121,0.331
Pete Alonso,2023,28,0.217,46,118,2.9,121,0.34700000000000003
Pete Alonso,2024,29,0.24,34,88,2.1,122,0.349
Pete Alonso,2025,30,0.259,22,81,2.4,138,0.392
Paul Goldschmidt,2023,35,0.268,25,80,3.4,122,0.382
Paul Goldschmidt,2024,36,0.245,22,65,1.1,100,0.4
Paul Goldschmidt,2025,37,0.282,8,38,0.9,109,0.28
