first_name,last_name
J.T.,Realmuto
Salvador,Perez
Mitch,Garver
Gary,Sánchez
Danny,Jansen
Tom,Murphy
Austin,Barnes
Jacob,Stallings
Christian,Bethancourt
Christian,Vázquez
Victor,Caratini
Austin,Hedges
Elias,Díaz
Josh,Naylor
Pete,Alonso
Paul,Goldschmidt
Rhys,Hoskins
Carlos,Santana
Justin,Turner
Josh,Bell
LaMonte,Wade Jr.
Wilmer,Flores
Donovan,Solano
Ty,France
Connor,Joe
Luis,Arraez
Ozzie,Albies
Gleyber,Torres
Brandon,Lowe
Jorge,Polanco
Luis,Rengifo
Kyle,Farmer
Thairo,Estrada
Adam,Frazier
Jorge,Mateo
Alex,Bregman
Eugenio,Suarez
Max,Muncy
Gio,Urshela
Josh,Rojas
Jon,Berti
Yoán,Moncada
Luis,Urías
Bo,Bichette
Trevor,Story
Ha-Seong,Kim
Orlando,Arcia
Miguel,Rojas
Isiah,Kiner-Falefa
Amed,Rosario
Paul,DeJong
Kyle,Tucker
Kyle,Schwarber
Cody,Bellinger
Luis,Robert Jr.
Tyler,O'Neill
Cedric,Mullins
Michael,Conforto
Mike,Yastrzemski
Chris,Taylor
Starling,Marte
Trent,Grisham
Andrew,McCutchen
Mitch,Haniger
Hunter,Renfroe
Max,Kepler
Lane,Thomas
Willi,Castro
Jesse,Winker
Austin,Hays
Randal,Grichuk
Austin,Slater
Mike,Tauchman
Dylan,Carlson
Ramón,Laureano
Harrison,Bader
Tommy,Pham
Ben,Gamel
Kiké,Hernández
Jason,Heyward
Michael,Taylor
Alex,Verdugo
Marcell,Ozuna
Joc,Pederson

